time	I(Vdd)
0.000000000000000e+00	-5.035971e-12
1.000000000000000e-07	-4.995560e-12
1.000042385997542e-07	6.812203e-05
1.000127157992626e-07	1.060866e-04
1.000296701982794e-07	1.108023e-04
1.000459782474070e-07	1.056143e-04
1.000685497302337e-07	9.356129e-05
1.000778130559299e-07	8.900215e-05
1.000814733486076e-07	8.289305e-05
1.000887939339629e-07	7.570531e-05
1.001000000000000e-07	9.610368e-05
1.001011206066037e-07	3.203456e-05
1.001033618198111e-07	-5.268060e-13
1.001347388047151e-07	-1.052923e-12
1.001705982160338e-07	-1.641786e-12
1.002423170386714e-07	-2.747998e-12
1.003142748665779e-07	-3.669715e-12
1.003882310589079e-07	-4.312189e-12
1.004675880604601e-07	-4.715006e-12
1.005029657115482e-07	-4.814519e-12
1.005487280129770e-07	-4.886144e-12
1.005999367509038e-07	-4.935685e-12
1.006711442871544e-07	-4.973756e-12
1.007449550373674e-07	-4.993225e-12
1.008450561833354e-07	-5.003963e-12
1.009619778464209e-07	-5.008305e-12
1.011382864323885e-07	-5.009872e-12
1.013335989323885e-07	-5.010166e-12
1.015289114323886e-07	-5.010178e-12
1.921539114323907e-07	-5.010179e-12
1.999046875000000e-07	-5.010179e-12
2.000000000000000e-07	-5.010179e-12
