time	I(Vdd)
0.000000000000000e+00	-5.035971e-12
1.000000000000000e-07	-5.058842e-12
1.000042022256534e-07	6.690860e-05
1.000126066769602e-07	1.025344e-04
1.000294155795738e-07	1.054029e-04
1.000456962032091e-07	1.028338e-04
1.000682068266765e-07	9.577091e-05
1.000765952145435e-07	8.956412e-05
1.000832232242660e-07	7.659447e-05
1.000867439805552e-07	7.295535e-05
1.000929584874216e-07	7.863448e-05
1.001000000000000e-07	8.385488e-05
1.001007041512578e-07	2.795163e-05
1.001021124537735e-07	-2.689815e-13
1.001894272097452e-07	-1.041177e-12
1.002795585707482e-07	-1.808989e-12
1.004598212927542e-07	-3.193580e-12
1.006073540766121e-07	-4.040001e-12
1.007747235897150e-07	-4.621476e-12
1.008577788054625e-07	-4.780624e-12
1.009286461113020e-07	-4.854301e-12
1.010195579106672e-07	-4.914638e-12
1.011092980541936e-07	-4.951749e-12
1.012209362782415e-07	-4.978260e-12
1.013409974846432e-07	-4.993585e-12
1.014972516618836e-07	-5.002991e-12
1.016794772507861e-07	-5.007614e-12
1.018747897507861e-07	-5.009380e-12
1.020701022507861e-07	-5.009940e-12
1.022654147507861e-07	-5.010106e-12
1.024607272507861e-07	-5.010156e-12
1.026560397507861e-07	-5.010172e-12
1.030466647507861e-07	-5.010178e-12
1.923044772507883e-07	-5.010178e-12
1.999216647507885e-07	-5.010178e-12
2.000000000000000e-07	-5.010178e-12
