time	I(Vdd)
0.000000000000000e+00	-5.035971e-12
1.000000000000000e-07	-5.013545e-12
1.000042426850395e-07	6.826023e-05
1.000127280551184e-07	1.064835e-04
1.000296987952763e-07	1.113816e-04
1.000460102806126e-07	1.058867e-04
1.000685887882965e-07	9.332008e-05
1.000779318291529e-07	8.909111e-05
1.000813139182872e-07	8.311954e-05
1.000880780965559e-07	7.389710e-05
1.000900185068048e-07	7.507496e-05
1.000938993273027e-07	7.940826e-05
1.001000000000000e-07	9.812989e-05
1.001006100672697e-07	3.270997e-05
1.001018302018092e-07	-5.284903e-13
1.001189120853616e-07	-8.315877e-13
1.001384342379929e-07	-1.175141e-12
1.001774785432556e-07	-1.843840e-12
1.002555671537808e-07	-3.065279e-12
1.003269245368911e-07	-3.922913e-12
1.004103802667499e-07	-4.553880e-12
1.004586113842551e-07	-4.757880e-12
1.004965796646874e-07	-4.843770e-12
1.005457275324345e-07	-4.910780e-12
1.006021243713429e-07	-4.955625e-12
1.006724843180174e-07	-4.984478e-12
1.007526561140185e-07	-4.999361e-12
1.008574302833670e-07	-5.006598e-12
1.009917563228847e-07	-5.009332e-12
1.011870688228847e-07	-5.010098e-12
1.013823813228847e-07	-5.010181e-12
1.021078277514561e-07	-5.010180e-12
1.028332741800276e-07	-5.010179e-12
1.035587206085990e-07	-5.010179e-12
1.042841670371705e-07	-5.010178e-12
1.050096134657419e-07	-5.010178e-12
1.057350598943134e-07	-5.010178e-12
1.064605063228848e-07	-5.010179e-12
1.916167563228869e-07	-5.010179e-12
1.999198813228871e-07	-5.010179e-12
2.000000000000000e-07	-5.010179e-12
