time	I(Vdd)
0.000000000000000e+00	-5.035971e-12
1.000000000000000e-07	-5.062173e-12
1.000042054180045e-07	6.701386e-05
1.000126162540135e-07	1.028474e-04
1.000294379260315e-07	1.059007e-04
1.000457209278232e-07	1.031204e-04
1.000682370324675e-07	9.558363e-05
1.000767150906144e-07	8.939177e-05
1.000830438837062e-07	7.751604e-05
1.000873424138163e-07	7.326648e-05
1.000918789480733e-07	7.667798e-05
1.000947349978345e-07	7.995909e-05
1.000970861283657e-07	8.343194e-05
1.000982116105718e-07	8.556127e-05
1.001000000000000e-07	8.463004e-05
1.001001788389428e-07	2.821001e-05
1.001005365168285e-07	-2.738695e-13
1.001913866997805e-07	-1.137737e-12
1.002829522385038e-07	-1.964231e-12
1.004660833159504e-07	-3.414708e-12
1.006011874090473e-07	-4.180268e-12
1.007567397485790e-07	-4.690135e-12
1.008206532660455e-07	-4.805046e-12
1.008862168189720e-07	-4.869662e-12
1.009681429470225e-07	-4.922468e-12
1.010584900595052e-07	-4.958403e-12
1.011660544588656e-07	-4.982540e-12
1.012879821158566e-07	-4.996626e-12
1.014408494852554e-07	-5.004568e-12
1.016291598073500e-07	-5.008389e-12
1.018244723073500e-07	-5.009690e-12
1.020197848073500e-07	-5.010049e-12
1.022150973073500e-07	-5.010144e-12
1.024104098073500e-07	-5.010169e-12
1.026057223073500e-07	-5.010176e-12
1.074606330216358e-07	-5.010177e-12
1.123155437359217e-07	-5.010178e-12
1.171704544502075e-07	-5.010179e-12
1.220253651644933e-07	-5.010179e-12
1.268802758787792e-07	-5.010179e-12
1.317351865930650e-07	-5.010179e-12
1.365900973073508e-07	-5.010178e-12
1.906916598073521e-07	-5.010178e-12
1.999713473073523e-07	-5.010179e-12
2.000000000000000e-07	-5.010179e-12
