time	I(Vdd)
0.000000000000000e+00	-2.870988e-11
1.000000000000000e-07	-2.870904e-11
1.000049999999999e-07	8.296665e-05
1.000149999999996e-07	1.366178e-04
1.000310080576132e-07	1.113765e-04
1.000479408575685e-07	5.436037e-05
1.000646118698801e-07	1.412727e-05
1.000829201391669e-07	-1.285125e-05
1.001000000000000e-07	-2.904395e-05
1.001017079860833e-07	-8.312226e-05
1.001051239582499e-07	-1.172365e-04
1.001119559025832e-07	-1.379426e-04
1.001256197912497e-07	-1.919031e-04
1.001465786278070e-07	-2.860898e-04
1.001810209836534e-07	-4.230448e-04
1.002258625574786e-07	-5.459274e-04
1.002742849642904e-07	-6.100572e-04
1.003287891749430e-07	-6.261126e-04
1.003875744084439e-07	-6.167695e-04
1.004671719645609e-07	-5.809640e-04
1.005934454690949e-07	-4.817211e-04
1.007858802163244e-07	-3.014444e-04
1.010361279104300e-07	-1.232910e-04
1.012973690243441e-07	-3.683745e-05
1.016416559762193e-07	-6.098659e-06
1.019937719928804e-07	-5.439652e-07
1.026415236551541e-07	-1.453935e-08
1.034227736551541e-07	2.072397e-09
1.042040236551542e-07	-7.943299e-10
1.059897379408684e-07	-4.664968e-10
1.077754522265828e-07	-2.100294e-10
1.095611665122970e-07	-2.492801e-11
1.113468807980114e-07	8.880755e-11
1.131325950837256e-07	1.311772e-10
1.149183093694400e-07	1.021810e-10
1.167040236551542e-07	1.818989e-12
1.279763450837256e-07	-1.334882e-11
1.392486665122969e-07	-2.484659e-11
1.505209879408682e-07	-3.267432e-11
1.617933093694396e-07	-3.683201e-11
1.730656307980109e-07	-3.731966e-11
1.843379522265822e-07	-3.413727e-11
1.956102736551535e-07	-2.728484e-11
1.979540236551535e-07	-3.160494e-11
1.987352736551535e-07	-4.847673e-10
1.992187500000000e-07	4.454954e-09
1.993187500000000e-07	2.814052e-09
1.995187500000000e-07	3.747103e-09
1.997625000000003e-07	1.701535e-09
1.998625000000003e-07	-6.828321e-09
1.999000000000000e-07	4.216917e-09
1.999250000000006e-07	1.571493e-09
1.999499999999989e-07	-6.324171e-09
2.000000000000000e-07	4.182954e-06
2.000049999999997e-07	8.735059e-05
2.000149999999990e-07	1.472026e-04
2.000324640946196e-07	1.561029e-04
2.000501694626993e-07	1.485257e-04
2.000700508545938e-07	1.374615e-04
2.000999028880743e-07	1.180312e-04
2.001000000000000e-07	1.237946e-04
2.001001942238514e-07	1.446245e-05
2.001005826715542e-07	-5.071183e-05
2.001013595669598e-07	-6.581921e-05
2.001029133577709e-07	-7.331982e-05
2.001060209393932e-07	-7.521512e-05
2.001122361026379e-07	-7.903870e-05
2.001246664291271e-07	-1.172747e-04
2.001423325202898e-07	-2.117780e-04
2.001626695802750e-07	-3.139115e-04
2.001798325865753e-07	-3.493209e-04
2.002000000000000e-07	-3.376486e-04
