time	I(Vdd)
0.000000000000000e+00	-2.870988e-11
1.000000000000000e-07	-2.871015e-11
1.000049999999999e-07	8.298771e-05
1.000149999999996e-07	1.366548e-04
1.000310080288548e-07	1.113982e-04
1.000479407983286e-07	5.431932e-05
1.000646122827428e-07	1.400667e-05
1.000829207617942e-07	-1.301940e-05
1.001000000000000e-07	-2.924835e-05
1.001017079238206e-07	-8.344526e-05
1.001051237714618e-07	-1.176631e-04
1.001119554667441e-07	-1.383821e-04
1.001256188573087e-07	-1.921004e-04
1.001478827068038e-07	-2.890371e-04
1.001910917637237e-07	-4.502203e-04
1.002325315624045e-07	-5.481758e-04
1.002794055050544e-07	-5.867793e-04
1.003342671403136e-07	-5.670672e-04
1.003945184645631e-07	-4.879526e-04
1.004784861002586e-07	-3.351709e-04
1.005997008031254e-07	-1.503126e-04
1.007224063608761e-07	-5.213961e-05
1.008842678178094e-07	-1.076703e-05
1.010545242446384e-07	-1.414711e-06
1.013390867685736e-07	-8.240202e-08
1.018128931609118e-07	7.703686e-09
1.025941431609118e-07	-1.316536e-09
1.033753931609118e-07	3.434479e-10
1.057191431609119e-07	-1.643627e-10
1.092905717323404e-07	-1.084941e-10
1.128620003037690e-07	-6.482835e-11
1.164334288751976e-07	-3.336561e-11
1.200048574466261e-07	-1.410584e-11
1.235762860180547e-07	-7.049047e-12
1.271477145894833e-07	-1.219522e-11
1.307191431609118e-07	-2.954437e-11
1.403173574466260e-07	-2.970245e-11
1.499155717323402e-07	-2.993506e-11
1.595137860180544e-07	-3.024220e-11
1.691120003037686e-07	-3.062386e-11
1.787102145894828e-07	-3.108005e-11
1.883084288751970e-07	-3.161077e-11
1.979066431609112e-07	-3.221601e-11
1.986878931609112e-07	-4.183675e-10
1.992187500000000e-07	5.097730e-09
1.993187500000000e-07	3.150452e-09
1.995187500000000e-07	4.164702e-09
1.997625000000003e-07	1.882674e-09
1.998625000000003e-07	-7.513126e-09
1.999000000000000e-07	4.679032e-09
1.999250000000006e-07	1.830102e-09
1.999499999999989e-07	-6.874814e-09
2.000000000000000e-07	9.087522e-07
2.000049999999997e-07	8.627193e-05
2.000149999999990e-07	1.472188e-04
2.000324640946209e-07	1.561041e-04
2.000501694627018e-07	1.485237e-04
2.000700511788401e-07	1.374624e-04
2.000999030696754e-07	1.180193e-04
2.001000000000000e-07	1.237813e-04
2.001001938606492e-07	1.445344e-05
2.001005815819475e-07	-5.072472e-05
2.001013570245442e-07	-6.585891e-05
2.001029079097376e-07	-7.341606e-05
2.001060096801243e-07	-7.539557e-05
2.001122132208979e-07	-7.928179e-05
2.001246203024449e-07	-1.174998e-04
2.001423304724727e-07	-2.122940e-04
2.001626626989335e-07	-3.138699e-04
2.001798333174553e-07	-3.475463e-04
2.002000000000000e-07	-3.321813e-04
2.002020166682545e-07	-2.636653e-04
2.002060500047634e-07	-2.138816e-04
2.002141166777813e-07	-1.888221e-04
2.002302500238170e-07	-1.746467e-04
2.002471135564378e-07	-1.760570e-04
2.002808406216795e-07	-1.652689e-04
2.003293816622623e-07	-1.109654e-04
2.003826576226708e-07	-5.759940e-05
2.004311127232440e-07	-3.210144e-05
2.004908598035243e-07	-1.958257e-05
2.005549448422219e-07	-1.508611e-05
2.006267923560613e-07	-1.083580e-05
2.006819939896351e-07	-7.101870e-06
2.007199146326940e-07	-5.052202e-06
2.007705094470929e-07	-3.185190e-06
2.008222042963193e-07	-1.898258e-06
2.008928085094724e-07	-9.479015e-07
2.009668064482786e-07	-4.223433e-07
2.010706372615404e-07	-1.505829e-07
2.011919318287045e-07	-3.011584e-08
2.013834728103625e-07	-4.648512e-09
2.016510953662233e-07	6.101497e-09
2.021863404779449e-07	2.158885e-09
2.029675904779449e-07	3.108710e-09
2.072086619065163e-07	2.236811e-09
2.114497333350877e-07	1.530221e-09
2.156908047636591e-07	9.889409e-10
2.199318761922305e-07	6.129704e-10
2.241729476208019e-07	4.023095e-10
2.284140190493733e-07	3.569581e-10
2.326550904779446e-07	4.769163e-10
2.982800904779460e-07	1.484182e-10
2.995335690441080e-07	1.589708e-09
2.999000000000000e-07	-2.733600e-10
3.000000000000000e-07	2.772752e-06
3.000045295064895e-07	8.184327e-05
3.000135885194685e-07	1.353216e-04
3.000295079751749e-07	1.177157e-04
3.000460210011489e-07	6.439425e-05
3.000639198832643e-07	1.667346e-05
3.000827751492902e-07	-1.391844e-05
3.001000000000000e-07	-3.217990e-05
3.001017224850710e-07	-8.457844e-05
3.001051674552130e-07	-1.180715e-04
3.001120573954969e-07	-1.395463e-04
3.001258372760648e-07	-1.941196e-04
3.001485606751835e-07	-2.926447e-04
3.001919344528469e-07	-4.534098e-04
3.002335081216748e-07	-5.504296e-04
3.002801395656541e-07	-5.873712e-04
3.003348924465014e-07	-5.665268e-04
3.003952603366441e-07	-4.864775e-04
3.004796053136798e-07	-3.328834e-04
3.006013934156619e-07	-1.482300e-04
3.007242448003747e-07	-5.115364e-05
3.008868548199033e-07	-1.046897e-05
3.010574209319891e-07	-1.353235e-06
3.013448375250257e-07	-7.845968e-08
3.018233544338573e-07	8.256372e-09
3.026046044338574e-07	-1.111751e-09
3.033858544338574e-07	5.177725e-10
3.057296044338574e-07	1.294254e-11
3.093010330052861e-07	6.466958e-11
3.128724615767148e-07	1.036359e-10
3.164438901481434e-07	1.298416e-10
3.200153187195721e-07	1.432866e-10
3.235867472910007e-07	1.439709e-10
3.271581758624294e-07	1.318945e-10
3.307296044338580e-07	1.070575e-10
3.403278187195725e-07	1.009314e-10
3.499260330052871e-07	9.467540e-11
3.595242472910016e-07	8.828958e-11
3.691224615767161e-07	8.177391e-11
3.787206758624306e-07	7.512837e-11
3.883188901481452e-07	6.835298e-11
3.979171044338597e-07	6.144774e-11
3.986983544338597e-07	-3.803612e-10
3.992187500000000e-07	5.521006e-09
3.993187500000000e-07	3.479859e-09
3.995187500000000e-07	4.442647e-09
3.997624999999999e-07	2.015428e-09
3.998624999999999e-07	-7.463766e-09
3.999000000000000e-07	4.618289e-09
3.999249999999999e-07	2.040807e-09
3.999500000000003e-07	-6.572539e-09
4.000000000000000e-07	7.055453e-07
4.000050000000000e-07	1.110532e-04
4.000150000000000e-07	1.761725e-04
4.000349999999998e-07	1.558750e-04
4.000539346927858e-07	9.816464e-05
4.000739088838286e-07	5.440558e-05
4.001000000000000e-07	3.294160e-05
4.001026091116172e-07	-1.545092e-04
4.001078273348515e-07	-2.199002e-04
4.001182637813200e-07	-2.104622e-04
4.001321299266933e-07	-2.939831e-04
4.001477496520230e-07	-4.210108e-04
4.001640353157160e-07	-5.119977e-04
4.001778213835007e-07	-5.359695e-04
4.002000000000000e-07	-5.722979e-04
4.002022178616500e-07	-4.018937e-04
4.002066535849498e-07	-2.893139e-04
4.002155250315496e-07	-2.517636e-04
4.002332679247491e-07	-2.362481e-04
4.002556127579659e-07	-2.329767e-04
4.002963250624685e-07	-1.982098e-04
4.003406131628783e-07	-1.312109e-04
4.004011687532179e-07	-5.812747e-05
4.004534433880726e-07	-2.927251e-05
4.005143426009976e-07	-1.889406e-05
4.005772450257896e-07	-1.466280e-05
4.006469509826242e-07	-1.011782e-05
4.006862122023618e-07	-7.464103e-06
4.007248973115654e-07	-5.328359e-06
4.007738827818900e-07	-3.482470e-06
4.008303726092701e-07	-2.026081e-06
4.008976828089456e-07	-1.071160e-06
4.009753604635376e-07	-4.950908e-07
4.010751404949132e-07	-2.107874e-07
4.012036245541899e-07	-7.195087e-08
4.013898666743014e-07	-3.684733e-08
4.016727450225737e-07	-1.872597e-08
4.022177610026062e-07	-1.591666e-08
4.029990110026062e-07	-9.688620e-09
4.037802610026062e-07	-7.060493e-09
4.053427610026062e-07	-4.644789e-09
4.076865110026063e-07	-3.077730e-09
4.099186538597492e-07	-2.507992e-09
4.121507967168921e-07	-2.029895e-09
4.143829395740350e-07	-1.643439e-09
4.166150824311779e-07	-1.348625e-09
