time	I(Vdd)
0.000000000000000e+00	-2.870988e-11
1.000000000000000e-07	-2.870926e-11
1.000049999999999e-07	8.296832e-05
1.000149999999996e-07	1.366208e-04
1.000310080553615e-07	1.113785e-04
1.000479408528999e-07	5.435739e-05
1.000646119044979e-07	1.411766e-05
1.000829201910941e-07	-1.286537e-05
1.001000000000000e-07	-2.906199e-05
1.001017079808906e-07	-8.314988e-05
1.001051239426718e-07	-1.172731e-04
1.001119558662341e-07	-1.379823e-04
1.001256197133588e-07	-1.919275e-04
1.001466719055425e-07	-2.863276e-04
1.001816552629912e-07	-4.248533e-04
1.002262310310027e-07	-5.459593e-04
1.002745030405286e-07	-6.084589e-04
1.003290472696379e-07	-6.228914e-04
1.003878635867376e-07	-6.108643e-04
1.004679118098767e-07	-5.672824e-04
1.005947193875629e-07	-4.527494e-04
1.007790037177295e-07	-2.699990e-04
1.010216441047958e-07	-1.022288e-04
1.012782905656585e-07	-2.661212e-05
1.015901075640748e-07	-4.298167e-06
1.019480486471765e-07	-3.913093e-07
1.026057511588965e-07	-2.165617e-09
1.033870011588965e-07	1.343210e-10
1.057307511588965e-07	-1.415401e-11
1.093021797303251e-07	-2.639257e-11
1.128736083017537e-07	-3.503612e-11
1.164450368731822e-07	-4.008469e-11
1.200164654446108e-07	-4.153825e-11
1.235878940160394e-07	-3.939683e-11
1.271593225874679e-07	-3.366040e-11
1.307307511588965e-07	-2.432898e-11
1.403289654446107e-07	-2.675566e-11
1.499271797303249e-07	-2.871992e-11
1.595253940160391e-07	-3.022176e-11
1.691236083017533e-07	-3.126118e-11
1.787218225874675e-07	-3.183818e-11
1.883200368731817e-07	-3.195277e-11
1.979182511588959e-07	-3.160494e-11
1.986995011588959e-07	-3.990749e-10
1.992187500000000e-07	4.499407e-09
1.993187500000000e-07	2.792679e-09
1.995187500000000e-07	3.707141e-09
1.997625000000003e-07	1.679631e-09
1.998625000000003e-07	-6.734085e-09
1.999000000000000e-07	4.144499e-09
1.999250000000006e-07	1.561432e-09
1.999499999999989e-07	-6.211091e-09
2.000000000000000e-07	3.831109e-06
2.000049999999997e-07	8.723439e-05
2.000149999999990e-07	1.472041e-04
2.000324640946198e-07	1.561032e-04
2.000501694626996e-07	1.485257e-04
2.000700508248708e-07	1.374617e-04
2.000999028714292e-07	1.180299e-04
2.001000000000000e-07	1.237924e-04
2.001001942571415e-07	1.445850e-05
2.001005827714246e-07	-5.071767e-05
2.001013597999908e-07	-6.582652e-05
2.001029138571230e-07	-7.332900e-05
2.001060219713876e-07	-7.522899e-05
2.001122381999168e-07	-7.906601e-05
2.001246706569751e-07	-1.173294e-04
2.001423327358913e-07	-2.118207e-04
2.001626701920915e-07	-3.139199e-04
2.001798324990191e-07	-3.491870e-04
2.002000000000000e-07	-3.372385e-04
2.002020167500981e-07	-2.689654e-04
2.002060502502943e-07	-2.198653e-04
2.002141172506866e-07	-1.953346e-04
2.002302512514713e-07	-1.786271e-04
2.002470962477780e-07	-1.742821e-04
2.002807862403914e-07	-1.566232e-04
2.003298101820176e-07	-1.045802e-04
2.003879436838418e-07	-4.941692e-05
2.004358898583361e-07	-2.441565e-05
2.004951977096754e-07	-1.265669e-05
2.005821500053707e-07	-8.504420e-06
2.006998055449588e-07	-7.945880e-06
2.008222854900612e-07	-6.867288e-06
2.009583944374379e-07	-4.123779e-06
2.010273576352426e-07	-2.778703e-06
2.010970008565001e-07	-1.886360e-06
2.011831431128027e-07	-1.179809e-06
2.012679922797299e-07	-7.109650e-07
2.013731648113992e-07	-3.998733e-07
2.014868423326614e-07	-1.930478e-07
2.016362534330736e-07	-8.767808e-08
2.018094824369767e-07	-2.268602e-08
2.020545965365327e-07	-7.993261e-09
2.023743129004593e-07	4.558033e-09
2.029142544222261e-07	7.361295e-10
2.036955044222261e-07	2.583079e-09
2.171999687079405e-07	1.607157e-09
2.307044329936550e-07	8.392565e-10
2.442088972793694e-07	2.793756e-10
2.577133615650839e-07	-7.248517e-11
2.712178258507983e-07	-2.163258e-10
2.847222901365128e-07	-1.521463e-10
2.982267544222272e-07	1.200533e-10
2.990080044222272e-07	-1.705393e-09
2.992187500000000e-07	-1.050824e-09
2.995785088444544e-07	-3.606261e-09
2.996785088444545e-07	-1.485141e-09
2.999000000000000e-07	-1.181206e-09
3.000000000000000e-07	-1.710860e-06
3.000045300591398e-07	8.031541e-05
3.000135901774193e-07	1.352734e-04
3.000295091633760e-07	1.176864e-04
3.000460222462710e-07	6.440773e-05
3.000639181782461e-07	1.677277e-05
3.000827708768947e-07	-1.376496e-05
3.001000000000000e-07	-3.194248e-05
3.001017229123106e-07	-8.426355e-05
3.001051687369316e-07	-1.176801e-04
3.001120603861738e-07	-1.391516e-04
3.001258436846580e-07	-1.939831e-04
3.001472726663043e-07	-2.896292e-04
3.001827131556523e-07	-4.290799e-04
3.002270818951272e-07	-5.484851e-04
3.002750395679223e-07	-6.093433e-04
3.003293827817695e-07	-6.230412e-04
3.003880319207770e-07	-6.107915e-04
3.004683801344248e-07	-5.668158e-04
3.005958289003727e-07	-4.514536e-04
3.007800652609335e-07	-2.689154e-04
3.010231588836990e-07	-1.015188e-04
3.012804843379933e-07	-2.625854e-05
3.015920606994454e-07	-4.229134e-06
3.019512535954090e-07	-3.836840e-07
3.026112998251503e-07	-1.801559e-09
3.033925498251503e-07	2.526690e-10
3.057362998251504e-07	1.667786e-10
3.093077283965791e-07	1.483894e-10
3.128791569680077e-07	1.336044e-10
3.164505855394364e-07	1.224237e-10
3.200220141108650e-07	1.148473e-10
3.235934426822937e-07	1.108752e-10
3.271648712537223e-07	1.105073e-10
3.307362998251510e-07	1.137437e-10
