time	I(Vdd)
0.000000000000000e+00	-2.870988e-11
1.000000000000000e-07	-2.870992e-11
1.000049999999999e-07	8.298560e-05
1.000149999999996e-07	1.366512e-04
1.000310080317750e-07	1.113964e-04
1.000479408043095e-07	5.432377e-05
1.000646122436316e-07	1.401870e-05
1.000829207024482e-07	-1.300349e-05
1.001000000000000e-07	-2.923002e-05
1.001017079297552e-07	-8.341525e-05
1.001051237892655e-07	-1.176236e-04
1.001119555082862e-07	-1.383438e-04
1.001256189463277e-07	-1.920908e-04
1.001477384123484e-07	-2.885966e-04
1.001906682121993e-07	-4.495273e-04
1.002320874808405e-07	-5.488367e-04
1.002787045678306e-07	-5.897252e-04
1.003336793367372e-07	-5.757263e-04
1.003934341868860e-07	-5.067784e-04
1.004780950216532e-07	-3.609487e-04
1.005947683930011e-07	-1.805863e-04
1.007267256114524e-07	-6.511314e-05
1.008910959477528e-07	-1.421907e-05
1.010677933386752e-07	-2.045036e-06
1.013338983637529e-07	-1.465088e-07
1.017877875267835e-07	9.645459e-09
1.025690375267835e-07	-1.384279e-09
1.033502875267835e-07	3.588667e-10
1.056940375267835e-07	-1.643343e-10
1.092654660982121e-07	-1.083528e-10
1.128368946696406e-07	-6.465118e-11
1.164083232410692e-07	-3.322934e-11
1.199797518124978e-07	-1.408732e-11
1.235511803839263e-07	-7.225117e-12
1.271226089553549e-07	-1.264274e-11
1.306940375267835e-07	-3.034017e-11
1.402922518124977e-07	-3.013614e-11
1.498904660982119e-07	-3.008944e-11
1.594886803839261e-07	-3.020008e-11
1.690868946696403e-07	-3.046806e-11
1.786851089553544e-07	-3.089337e-11
1.882833232410686e-07	-3.147602e-11
1.978815375267828e-07	-3.221601e-11
1.986627875267828e-07	-3.635752e-10
1.992187500000000e-07	5.158343e-09
1.993187500000000e-07	3.154848e-09
1.995187500000000e-07	4.167618e-09
1.997625000000003e-07	1.883415e-09
1.998625000000003e-07	-7.515284e-09
1.999000000000000e-07	4.667856e-09
1.999250000000006e-07	1.824134e-09
1.999499999999989e-07	-6.873184e-09
2.000000000000000e-07	1.081248e-06
2.000049999999997e-07	8.632811e-05
2.000149999999990e-07	1.472172e-04
2.000324640946208e-07	1.561041e-04
2.000501694627016e-07	1.485240e-04
2.000700511681551e-07	1.374624e-04
2.000999030636908e-07	1.180208e-04
2.001000000000000e-07	1.237833e-04
2.001001938726185e-07	1.445584e-05
2.001005816178555e-07	-5.072125e-05
2.001013571083294e-07	-6.585294e-05
2.001029080892773e-07	-7.340535e-05
